neighbourhood,price,minimum_nights,maximum_nights,number_of_reviews
Corseaux,123.71,5.0,689.0,11.0
Corsier-sur-Vevey,129.01,4.0,760.0,16.0
Cossonay,83.55,2.0,756.0,46.0
Crans-près-Céligny,124.41,2.0,851.0,28.0
Crassier,125.0,4.0,566.0,16.0
Crissier,59.81,9.0,752.0,10.0
Cuarnens,67.0,2.0,1125.0,78.0
Cuarny,45.0,1.0,1125.0,4.0
Cudrefin,210.88,2.0,966.0,19.0
Cugy (Vaud),200.0,7.0,1125.0,0.0
Daillens,98.0,3.0,1125.0,13.0
Denens,178.4,6.0,102.0,13.0
Denges,75.8,1.0,681.0,6.0
Dompierre (Vaud),267.74,5.0,1125.0,4.0
Donneloye,85.66,2.0,1125.0,9.0
Duillier,76.15,38.0,902.0,22.0
Dully,120.0,2.0,18.0,3.0
Echallens,121.6,1.0,461.0,7.0
Echandens,89.83,4.0,586.0,4.0
Echichens,108.5,8.0,402.0,14.0
Ecublens (Vaud),89.54,6.0,44739953.0,7.0
Epalinges,99.07,5.0,813.0,10.0
Ependes (Vaud),152.5,2.0,1125.0,38.0
Essertes,67.5,1.0,566.0,118.0
Essertines-sur-Rolle,161.8,5.0,692.0,9.0
Etoy,131.37,3.0,926.0,25.0
Eysins,122.17,4.0,572.0,9.0
Faoug,163.53,4.0,632.0,20.0
Fontaines-sur-Grandson,1403.0,11.0,757.0,40.0
Forel (Lavaux),108.5,5.0,753.0,6.0
Founex,156.76,16.0,652.0,34.0
Froideville,78.75,1.0,1125.0,7.0
Féchy,332.06,4.0,849.0,12.0
Genolier,197.0,3.0,687.0,8.0
Giez,50.0,1.0,2.0,0.0
Gilly,130.75,3.0,1125.0,21.0
Gimel,144.0,3.0,1125.0,12.0
Gingins,272.25,4.0,1125.0,15.0
Givrins,92.0,40.0,580.0,6.0
Gland,108.1,11.0,728.0,4.0
Gollion,38.5,2.0,565.0,16.0
Goumoëns,91.67,3.0,1125.0,7.0
Grandevent,138.48,1.0,360.0,2.0
Grandson,103.75,2.0,846.0,16.0
