neighbourhood,price,minimum_nights,maximum_nights,number_of_reviews
L'Isle,70.0,1.0,570.0,28.0
La Rippe,90.0,2.0,751.0,2.0
La Sarraz,88.5,1.0,30.0,4.0
La Tour-de-Peilz,136.92,3.0,670.0,13.0
Lausanne,101.87,12.0,1322.0,14.0
Lavey-Morcles,104.33,2.0,629.0,15.0
Lavigny,900.0,7.0,1125.0,0.0
Le Chenit,78.04,3.0,711.0,14.0
Le Lieu,159.26,2.0,943.0,28.0
Le Mont-sur-Lausanne,113.9,11.0,806.0,21.0
Le Vaud,73.33,2.0,1125.0,13.0
Leysin,157.32,3.0,936.0,14.0
Lignerolle,66.25,1.0,1125.0,10.0
Lonay,163.75,4.0,289.0,7.0
Longirod,49.0,1.0,568.0,5.0
Lucens,107.33,1.0,770.0,12.0
Lully (Vaud),76.67,3.0,755.0,17.0
Lutry,185.21,5.0,834.0,10.0
Maracon,194.6,3.0,866.0,8.0
Marchissy,90.0,1.0,1125.0,29.0
Mathod,50.0,1.0,1125.0,61.0
Mauborget,82.5,3.0,578.0,0.0
Mex (Vaud),50.0,1.0,1125.0,2.0
Mies,78.33,4.0,389.0,3.0
Moiry,69.74,3.0,21.0,9.0
Mollens (Vaud),215.0,7.0,60.0,0.0
Mont-sur-Rolle,185.29,3.0,649.0,27.0
Montagny-près-Yverdon,55.0,4.0,1125.0,71.0
Montanaire,89.53,4.0,847.0,16.0
Montcherand,68.0,3.0,7.0,52.0
Montherod,90.0,2.0,1125.0,66.0
Montilliez,95.81,2.0,568.0,22.0
Montpreveyres,100.8,4.0,688.0,14.0
Montreux,215.43,5.0,783.0,19.0
Montricher,120.0,3.0,1125.0,1.0
Morges,89.38,4.0,920.0,14.0
Morrens (Vaud),115.5,2.0,745.0,8.0
Moudon,63.52,1.0,384.0,4.0
Novalles,55.0,1.0,7.0,0.0
Noville,543.5,9.0,947.0,18.0
Nyon,103.51,6.0,738.0,11.0
Ogens,96.42,2.0,1125.0,3.0
Ollon,261.45,4.0,800.0,10.0
Onnens (Vaud),95.0,4.0,1125.0,8.0
Orbe,72.15,1.0,395.0,24.0
Ormont-Dessous,166.37,5.0,593.0,13.0
Ormont-Dessus,380.73,4.0,746.0,11.0
Oron,163.67,3.0,783.0,37.0
Oulens-sous-Echallens,110.0,4.0,1125.0,19.0
Pailly,100.0,3.0,1125.0,48.0
Paudex,137.25,2.0,851.0,21.0
Payerne,306.09,2.0,755.0,6.0
Perroy,164.56,2.0,879.0,24.0
Poliez-Pittet,97.0,14.0,1125.0,0.0
Pomy,288.0,5.0,171.0,23.0
Prangins,92.86,38.0,766.0,9.0
Premier,30.0,1.0,7.0,156.0
Prilly,93.66,8.0,893.0,13.0
Provence,71.25,1.0,1125.0,14.0
Préverenges,243.12,5.0,830.0,20.0
Puidoux,152.39,4.0,762.0,31.0
Pully,97.14,7.0,806.0,12.0
Renens (Vaud),66.9,18.0,848.0,9.0
Rennaz,39.0,1.0,1125.0,184.0
Rivaz,134.62,2.0,764.0,20.0
Roche (Vaud),93.6,2.0,466.0,7.0
Rolle,148.9,5.0,774.0,12.0
Romainmôtier-Envy,87.5,2.0,570.0,26.0
Romanel-sur-Lausanne,78.8,10.0,918.0,3.0
Romanel-sur-Morges,85.0,1.0,7.0,46.0
Ropraz,31.0,1.0,1125.0,27.0
Rossinière,214.49,4.0,303.0,23.0
Rougemont,598.85,4.0,530.0,9.0
Saint-Cergue,110.73,2.0,842.0,22.0
Saint-George,217.94,3.0,969.0,28.0
Saint-Livres,241.25,1.0,64.0,0.0
Saint-Légier-La Chiésaz,193.0,5.0,633.0,16.0
Saint-Oyens,110.0,2.0,1125.0,3.0
Saint-Prex,119.5,4.0,781.0,14.0
Saint-Saphorin (Lavaux),146.32,9.0,694.0,5.0
Saint-Sulpice (Vaud),149.12,14.0,627.0,9.0
Sainte-Croix,106.42,5.0,1125.0,25.0
Savigny,83.75,22.0,696.0,15.0
Sergey,50.0,1.0,1125.0,4.0
Servion,114.25,5.0,464.0,5.0
Signy-Avenex,74.5,2.0,1125.0,0.0
Suchy,92.5,1.0,14.0,40.0
Sullens,114.17,2.0,572.0,8.0
Tannay,108.33,2.0,757.0,12.0
Tartegnin,136.84,2.0,1125.0,28.0
Tolochenaz,198.03,4.0,942.0,17.0
Trey,128.33,3.0,760.0,21.0
Treycovagnes,70.0,1.0,4.0,14.0
Trélex,112.81,2.0,408.0,62.0
Tévenon,103.33,2.0,578.0,16.0
Valbroye,79.83,2.0,270.0,18.0
Valeyres-sous-Rances,100.0,1.0,1125.0,0.0
Vallorbe,173.76,2.0,810.0,12.0
Vaulion,83.03,1.0,1125.0,57.0
Vevey,142.79,10.0,699.0,12.0
Veytaux,148.36,4.0,904.0,20.0
Vich,123.0,3.0,763.0,21.0
Villars-Sainte-Croix,120.0,2.0,31.0,16.0
Villars-sous-Yens,80.0,3.0,90.0,33.0
Villeneuve (Vaud),132.02,2.0,921.0,26.0
Vinzel,50.0,2.0,1125.0,0.0
Vuarrens,59.0,2.0,1125.0,114.0
Vufflens-la-Ville,136.51,4.0,131.0,19.0
Vufflens-le-Château,82.5,2.0,1125.0,0.0
Vugelles-La Mothe,79.35,1.0,618.0,8.0
Vuiteboeuf,81.0,1.0,1125.0,16.0
Vulliens,113.5,1.0,3.0,5.0
Vullierens,93.75,2.0,1125.0,9.0
Vully-les-Lacs,158.42,6.0,972.0,16.0
Yens,99.0,2.0,180.0,26.0
Yverdon-les-Bains,81.75,4.0,697.0,28.0
Yvonand,126.6,3.0,904.0,14.0
Yvorne,127.67,6.0,755.0,3.0
